Rank,Feature_1,Feature_2,Mean_Absolute_SHAP_Interaction
365,Age_group,Sleep affects concentration,0.0036210956
366,Self_risk_percep,Completes readings,0.0036208532
367,GPA_S1,Reviews notes within 24h,0.0036172064
368,Concentration in self-study,Reviews notes within 24h,0.0036108212
369,CA_AVG,Clinical takes study time,0.0036004018
370,Study_hrs_day,Anxious about assessments,0.003583351
371,Financial_diff,Sleep affects concentration,0.0035817286
372,ATT_RATE,Completes readings,0.0035655734
373,Financial_diff,Burnt out,0.0035454966
374,Programme prepares for career,Hopeless/unmotivated,0.0035250676
375,EXAM_AVG,Employment_hrs,0.0035246876
376,Age_group,Completes readings,0.0035193525
377,Self-motivates,Confident to complete prog,0.003471719
378,Lecturers approachable,EXAM_AVG,0.003468434
379,Lecturers approachable,Can improve performance,0.0034640597
380,Study_hrs_day,Rotations affect performance,0.0034440432
381,Seeks help when stuck,Regular exercise,0.003442156
382,Study_hrs_day,Can improve performance,0.0034388537
383,CA_AVG,Sleep affects concentration,0.0034075454
384,Study_hrs_day,Seeks help when stuck,0.0034048054
385,CLIN_AVG,Manages time effectively,0.00340306
386,GPA_S1,Confident to complete prog,0.0033992373
387,Adequate supervision,EXAM_AVG,0.0033605625
388,EXAM_AVG,Rotations affect performance,0.0033558488
389,LAB_AVG,Concentration in self-study,0.0033464718
390,Self_risk_percep,Hopeless/unmotivated,0.003336141
391,ATT_RATE,Understands content pre-exam,0.0033298335
392,Self-motivates,Financial_diff,0.0033187838
393,Hopeless/unmotivated,Understands content pre-exam,0.0033021343
394,Physical health affected,Self_risk_percep,0.0032952547
395,Adequate supervision,Self-motivates,0.0032801942
396,Self_risk_percep,Can improve performance,0.0032768634
397,Physical health affected,Regular exercise,0.0032363296
398,Age_group,Seeks help when stuck,0.0032325527
399,Self-motivates,Regular exercise,0.0032218199
400,EXAM_AVG,Confident to complete prog,0.003212747
401,EXAM_AVG,Participates in clubs,0.0032053182
402,CA_AVG,Sense of belonging,0.003202376
403,Concentration in self-study,Confident to complete prog,0.003202099
404,Self_risk_percep,Reviews notes within 24h,0.003197276
405,Employment_hrs,Takes organised notes,0.0031700355
406,Persists when difficult,Clinical takes study time,0.0031641494
407,Sleep_hrs,ASSIGN_LATE,0.0031465658
408,Adequate supervision,Prepared for clinical assess,0.0031393832
409,Sleep affects concentration,Reviews notes within 24h,0.0031330546
410,Sleep_hrs,ATT_RATE,0.0031313826
411,Manages time effectively,EXAM_AVG,0.0031181548
412,Programme prepares for career,Sleep affects concentration,0.0031174899
413,Study_hrs_day,Peer study groups effective,0.0031126235
414,LAB_AVG,Prepared for clinical assess,0.0031095354
415,Persists when difficult,Considered break,0.003108825
416,Sleep affects concentration,Early intervention provided,0.0031048725
417,CA_AVG,Employment_hrs,0.0030584258
418,CA_AVG,Burnt out,0.0030459308
419,Study_hrs_day,Physical health affected,0.0030283425
420,Financial_diff,Physical health affected,0.0030247367
421,Sense of belonging,Confident in clinical skills,0.0030211348
422,Adequate supervision,Programme prepares for career,0.003018293
423,Age_group,Uses library regularly,0.0030177182
424,GPA_S1,Lecturers approachable,0.0030140984
425,Self_risk_percep,Gender,0.003013316
426,Self-motivates,Hopeless/unmotivated,0.0030026466
427,Sense of belonging,Reviews notes within 24h,0.003000708
428,Programme prepares for career,ATT_RATE,0.0029998638
429,Manages time effectively,Can improve performance,0.0029984603
430,Takes rest breaks,Persists when difficult,0.0029873569
431,Manages time effectively,Sleep affects concentration,0.0029800904
432,Adequate supervision,Self_risk_percep,0.002976205
433,Manages time effectively,Employment_hrs,0.0029631713
434,Manages time effectively,Early intervention provided,0.0029516618
435,Self-motivates,Uses library regularly,0.002949555
436,Sleep affects concentration,Sense of belonging,0.0029451242
