GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
3.19,3,0.86,0.69,3,1,4,4,4,2,0.66,3,3,3,1,2,3,2,0.85,1,3,5,0.92,5,2,0,3,4,4,4,1,0,4,4,5,2,5,1,4,3,2,4,4,4,3,4,1
3.35,0,0.97,0.7,3,1,4,1,2,0,0.92,3,3,4,1,3,3,0,1.0,2,3,4,0.9,5,2,1,2,3,2,1,1,0,3,3,4,2,5,4,2,3,4,4,3,2,1,3,1
3.3,3,0.88,0.69,2,3,3,3,2,0,0.69,1,4,3,4,3,3,1,0.88,1,4,3,0.93,2,1,0,1,4,2,2,4,0,4,4,3,4,2,3,2,3,1,4,1,4,2,3,1
2.0,0,0.77,1.0,5,1,2,2,1,4,0.65,4,3,2,2,4,1,1,0.77,5,2,2,1.0,4,2,0,1,4,3,2,4,0,2,2,2,2,2,3,2,3,1,2,4,4,2,2,2
3.27,1,0.73,0.63,4,1,3,2,3,4,0.7,5,2,3,3,1,4,3,0.89,4,2,2,0.7,4,1,0,1,3,3,3,3,0,3,3,2,4,5,2,3,2,1,4,1,2,1,5,1
3.17,2,0.7,0.85,2,1,3,3,2,0,1.0,5,3,3,2,2,3,1,0.68,1,3,4,1.0,2,2,1,4,3,2,2,4,2,3,3,4,3,1,3,4,3,1,4,3,2,3,5,2
2.87,2,0.64,0.6,2,3,2,3,1,2,0.7,3,4,3,1,3,3,3,1.0,3,4,3,0.7,3,4,1,3,4,1,2,3,0,1,1,3,4,5,4,3,5,5,4,3,1,3,1,1
3.35,4,0.93,0.7,3,3,5,1,3,0,0.7,3,3,2,5,4,1,2,0.69,2,3,3,1.0,2,4,1,1,2,3,3,2,1,4,4,3,5,3,3,3,3,3,2,2,5,1,3,0
1.1,3,0.87,0.87,2,1,2,2,5,2,0.89,5,2,3,4,5,2,1,0.79,2,2,2,0.9,4,4,1,5,1,5,4,4,4,3,3,2,5,2,4,3,3,3,2,3,1,3,2,1
2.25,3,0.91,0.77,5,3,5,3,3,2,0.79,4,5,4,3,3,4,0,0.7,3,5,2,1.0,5,4,0,3,1,3,1,1,0,5,5,2,3,1,3,4,3,3,5,5,5,3,3,2
